#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = ÈÛÈÚ´Ö¸Ö
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = ÈÛÈÚ¾§»¯ºÏ½ğ
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = ÈÛÈÚĞıÂÉºÏ½ğ
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = ÈÛÈÚºãĞÇºÏ½ğ
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = ÈÛÈÚ¾§»¯·ÛºìÕ³Òº
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = ÈÛÈÚ³äÄÜÒø
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = ÈÛÈÚÉú¶¯ºÏ½ğ
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ÈÛÈÚ³ãÌú
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ÈÛÈÚÆïÊ¿½ğÊô
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
iron                                              (tconstruct:molten_iron)                                                         = ÈÛÈÚÌú
pigiron                                           (tconstruct:molten_pigiron)                                                      = ÈÛÈÚÉúÌú
knightslime                                       (tconstruct:molten_knightslime)                                                  = ÈÛÈÚÆïÊ¿Ê·À³Ä·
cobalt                                            (tconstruct:molten_cobalt)                                                       = ÈÛÈÚîÜ
ardite                                            (tconstruct:molten_ardite)                                                       = ÈÛÈÚ°¢µÏÌØ
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ÈÛÈÚÂêÓñÁé
copper                                            (tconstruct:molten_copper)                                                       = ÈÛÈÚÍ­
bronze                                            (tconstruct:molten_bronze)                                                       = ÈÛÈÚÇàÍ­
lead                                              (tconstruct:molten_lead)                                                         = ÈÛÈÚÇ¦
silver                                            (tconstruct:molten_silver)                                                       = ÈÛÈÚÒø
electrum                                          (tconstruct:molten_electrum)                                                     = ÈÛÈÚçúçê½ğ
steel                                             (tconstruct:molten_steel)                                                        = ÈÛÈÚ¸Ö
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = ÈÛÈÚÔ¨ËØ
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = ÈÛÈÚ¾«Á¶Éºº÷
moltendreadium                                    (acintegration:moltendreadium)                                                   = ÈÛÈÚ¾åÖÊ
milk                                              (cyclicmagic:milk)                                                               = Å£ÄÌ
insanium                                          (contenttweaker:insanium)                                                        = ÈÛÈÚ¾¿¼«¾«»ª
fusion_matrix                                     (contenttweaker:fusion_matrix)                                                   = ÈÛÈÚ¾ÛºÏ¾ØÕó
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
infernium                                         (jaopca:fluid_molteninfernium)                                                   = ÈÛÈÚÓÀÈ¼
titanium                                          (tiths:molten_titanium)                                                          = ÈÛÈÚîÑ
cryonium                                          (jaopca:fluid_moltencryonium)                                                    = ÈÛÈÚ¼«º®
alubrass                                          (tconstruct:molten_alubrass)                                                     = ÈÛÈÚÂÁ»ÆÍ­
gold                                              (tconstruct:molten_gold)                                                         = ÈÛÈÚ½ğ
ethaxium                                          (contenttweaker:ethaxium)                                                        = ÈÛÈÚÒÁÉ£Ë¹
mithrillium                                       (contenttweaker:mithrillium)                                                     = ÈÛÈÚÃØÒø
adaminite                                         (contenttweaker:adaminite)                                                       = ÈÛÈÚï¬½ğ
mithminite                                        (contenttweaker:mithminite)                                                      = ÈÛÈÚÃØ½ğ
ravaging                                          (contenttweaker:ravaging)                                                        = »ÙÃğÁ÷ÖÊ
gaia                                              (contenttweaker:gaia)                                                            = ÈÛÈÚ¸ÇÑÇ»ê¶§
cytosinite                                        (jaopca:fluid_moltencytosinite)                                                  = ÈÛÈÚ°ûà×
terra_alloy                                       (contenttweaker:terra_alloy)                                                     = ÈÛÈÚ´óµØºÏ½ğ
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = ÈÛÈÚºãĞÇºÏ½ğ
cosmilite                                         (contenttweaker:cosmilite)                                                       = å¾Óî³¬Á÷Ìå
astral_metal                                      (contenttweaker:astral_metal)                                                    = ĞÇ³½Ó¿Á÷
orichalcos                                        (contenttweaker:orichalcos)                                                      = ÈÛÈÚ°ÂÀû¹ş¸Õ
liquid_chocolate                                  (candymod:liquid_chocolate_block)                                                = ÒºÌ¬ÇÉ¿ËÁ¦
aeroite                                           (jaopca:fluid_moltenaeroite)                                                     = ÈÛÈÚÔÆ¸¡
asgardium                                         (jaopca:fluid_moltenasgardium)                                                   = ÈÛÈÚÉñ½ğ
shadowium                                         (jaopca:fluid_moltenshadowium)                                                   = ÈÛÈÚ°µÓ°
netherite                                         (contenttweaker:netherite)                                                       = ÈÛÈÚÏÂ½çºÏ½ğ
